trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1290,False,"{'a': 0.001, 'e': 0.27527078308975234}",25,8,0.5394573677559029,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
1291,False,"{'a': 0.001, 'e': 0.27499564989618713}",25,8,20.65339149487055,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1292,False,"{'a': 0.001, 'e': 0.2747207916982947}",25,12,18.528878334238083,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
1293,False,"{'a': 0.001, 'e': 0.27444620822121696}",25,12,22.796047539555207,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1294,False,"{'a': 0.001, 'e': 0.2741718991903702}",30,5,-11.348493623788002,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
1295,False,"{'a': 0.001, 'e': 0.2738978643314456}",25,0,-14.164935969551966,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
1296,False,"{'a': 0.001, 'e': 0.27362410337040804}",20,9,8.493692702581129,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1297,False,"{'a': 0.001, 'e': 0.27335061603349675}",20,5,16.51479767170391,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
1298,False,"{'a': 0.001, 'e': 0.2730774020472242}",25,6,32.1051268808265,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1299,False,"{'a': 0.001, 'e': 0.2728044611383765}",20,0,16.018645377374387,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1300,False,"{'a': 0.001, 'e': 0.2725317930340126}",30,20,4.782701515912059,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1301,False,"{'a': 0.001, 'e': 0.2722593974614645}",30,3,13.855450387463913,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 0}",1
1302,False,"{'a': 0.001, 'e': 0.2719872741483365}",30,13,30.713353871217905,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1303,False,"{'a': 0.001, 'e': 0.27171542282250544}",25,9,17.989299973873496,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
1304,False,"{'a': 0.001, 'e': 0.27144384321211973}",20,0,-19.261510560803817,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
1305,False,"{'a': 0.001, 'e': 0.2711725350455999}",30,17,1.321933559697537,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
1306,False,"{'a': 0.001, 'e': 0.27090149805163766}",20,0,-14.433076209143119,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
1307,False,"{'a': 0.001, 'e': 0.2706307319591961}",30,8,-3.5892160913014495,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
1308,False,"{'a': 0.001, 'e': 0.270360236497509}",20,16,8.101905261590732,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1309,False,"{'a': 0.001, 'e': 0.270090011396081}",20,13,12.985187434962814,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1310,False,"{'a': 0.001, 'e': 0.2698200563846868}",20,2,-31.003973085345457,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
1311,False,"{'a': 0.001, 'e': 0.2695503711933716}",25,13,23.412965374143464,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1312,False,"{'a': 0.001, 'e': 0.26928095555244996}",20,0,13.607189248642035,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1313,False,"{'a': 0.001, 'e': 0.2690118091925064}",20,0,-15.069902868938893,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
1314,False,"{'a': 0.001, 'e': 0.26874293184439435}",20,2,24.8211129770703,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1315,False,"{'a': 0.001, 'e': 0.2684743232392366}",35,8,-39.219999347000055,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 2}",1
1316,False,"{'a': 0.001, 'e': 0.2682059831084244}",30,16,13.931796214855465,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1317,False,"{'a': 0.001, 'e': 0.26793791118361776}",20,0,-24.509518240520404,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
1318,False,"{'a': 0.001, 'e': 0.26767010719674456}",20,9,19.40077418107583,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1319,False,"{'a': 0.001, 'e': 0.2674025708800009}",20,9,7.843145953722051,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1320,False,"{'a': 0.001, 'e': 0.26713530196585034}",25,0,-25.26640649041145,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
1321,False,"{'a': 0.001, 'e': 0.2668683001870241}",25,9,-7.849739848597594,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
1322,False,"{'a': 0.001, 'e': 0.2666015652765202}",25,13,-35.82305243066113,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
1323,False,"{'a': 0.001, 'e': 0.2663350969676039}",20,0,-89.01854683404797,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
1324,False,"{'a': 0.001, 'e': 0.26606889499380665}",25,9,14.106804752979787,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
1325,False,"{'a': 0.001, 'e': 0.2658029590889266}",25,9,15.947672559051146,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
1326,False,"{'a': 0.001, 'e': 0.2655372889870278}",25,2,10.346143980288552,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
1327,False,"{'a': 0.001, 'e': 0.2652718844224401}",20,15,10.855656608706331,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1328,False,"{'a': 0.001, 'e': 0.2650067451297589}",25,5,-31.149969984053254,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
1329,False,"{'a': 0.001, 'e': 0.26474187084384504}",30,16,21.254742628288586,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1330,False,"{'a': 0.001, 'e': 0.26447726129982396}",20,13,11.085686678938824,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1331,False,"{'a': 0.001, 'e': 0.2642129162330863}",25,14,13.23710025862114,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
1332,False,"{'a': 0.001, 'e': 0.2639488353792868}",20,2,18.552103501026124,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1333,False,"{'a': 0.001, 'e': 0.2636850184743448}",25,0,-44.41394429165051,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
1334,False,"{'a': 0.001, 'e': 0.2634214652544431}",20,10,18.073089297575414,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1335,False,"{'a': 0.001, 'e': 0.2631581754560287}",20,0,-35.27486035169802,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
1336,False,"{'a': 0.001, 'e': 0.26289514881581166}",30,13,-24.919195626607774,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
1337,False,"{'a': 0.001, 'e': 0.26263238507076536}",20,16,7.206965585313616,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1338,False,"{'a': 0.001, 'e': 0.262369883958126}",25,0,4.306589715767032,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
1339,False,"{'a': 0.001, 'e': 0.2621076452153925}",25,9,-2.8360052097761077,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
1340,False,"{'a': 0.001, 'e': 0.261845668580326}",20,2,13.356885281727838,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
