trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.8780954309205613, 'e': 0.2725317930340126}",20,5,29.19231688690568,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.8772177743910435, 'e': 0.26982005638468687}",25,0,-16.669133596576724,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
132,False,"{'a': 0.8763409950793734, 'e': 0.2671353019658504}",20,13,15.196567150540613,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.8754650921087711, 'e': 0.26447726129982396}",30,0,24.648132152512932,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.874590064603334, 'e': 0.261845668580326}",20,0,-17.609253862720156,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
135,False,"{'a': 0.8737159116880344, 'e': 0.2592402606458915}",30,0,13.174178008337087,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.8728426324887193, 'e': 0.2566607769535559}",20,10,-16.047412863477938,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
137,False,"{'a': 0.8719702261321094, 'e': 0.25410695955280027}",20,0,-29.911447796755922,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",1
138,False,"{'a': 0.8710986917457983, 'e': 0.2515785530597565}",20,2,-14.866180074993146,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
139,False,"{'a': 0.8702280284582516, 'e': 0.2490753046316682}",25,8,1.9031651041429214,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.8693582353988059, 'e': 0.24659696394160646}",25,0,3.541988406150077,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
141,False,"{'a': 0.8684893116976679, 'e': 0.2441432831534371}",20,0,6.601547883354382,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
142,False,"{'a': 0.867621256485914, 'e': 0.24171401689703648}",20,2,-17.940932908340237,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
143,False,"{'a': 0.866754068895489, 'e': 0.23930892224375455}",30,17,-26.767111551314905,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.865887748059205, 'e': 0.2369277586821218}",25,15,14.017915999081078,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.8650222931107413, 'e': 0.23457028809379768}",30,0,9.905314295346743,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
146,False,"{'a': 0.8641577031846428, 'e': 0.23223627472975886}",20,12,15.676142494288527,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.8632939774163194, 'e': 0.22992548518672387}",25,15,4.130773543066811,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.8624311149420455, 'e': 0.22763768838381276}",20,0,11.082256806337888,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
149,False,"{'a': 0.8615691148989583, 'e': 0.22537265553943875}",20,11,-24.867441444477755,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
150,False,"{'a': 0.8607079764250578, 'e': 0.22313016014842985}",30,0,-47.763305678767004,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
151,False,"{'a': 0.8598476986592055, 'e': 0.22090997795937822}",20,10,16.63636730422457,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.8589882807411235, 'e': 0.21871188695221477}",25,15,5.671850091948811,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.8581297218113938, 'e': 0.21653566731600707}",20,16,7.848033685772316,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
